maritime_track_id,grid_square,zone_status,ais_corroborated
MAR-000068,D7,normal,False
MAR-000069,C4,advisory,True
MAR-000070,B1,advisory,True
MAR-000071,F8,normal,True
MAR-000072,A4,exclusion_breach,True
MAR-000073,F7,advisory,True
MAR-000074,A8,normal,True
MAR-000075,B6,normal,True
MAR-000076,G2,normal,False
MAR-000077,E5,advisory,True
MAR-000078,A6,exclusion_breach,False
MAR-000079,B7,advisory,False
MAR-000080,A2,normal,False
MAR-000081,C5,normal,False
MAR-000082,G5,normal,False
MAR-000083,B5,normal,False
MAR-000084,E7,normal,True
MAR-000085,F2,advisory,True
MAR-000086,C8,advisory,True
MAR-000087,F2,advisory,True
MAR-000088,C7,normal,True
MAR-000089,C5,advisory,True
MAR-000090,D2,normal,True
MAR-000091,F1,normal,True
MAR-000092,C8,normal,True
MAR-000093,H7,normal,True
MAR-000094,A2,normal,True
MAR-000095,A1,advisory,False
MAR-000096,B8,normal,True
MAR-000097,C4,normal,True
MAR-000098,D4,exclusion_breach,True
MAR-000099,C4,normal,True
MAR-000100,D2,advisory,True
MAR-000101,E8,normal,False
MAR-000102,C2,normal,False
MAR-000103,B6,normal,True
MAR-000104,C3,normal,False
MAR-000105,E4,advisory,True
MAR-000106,A3,advisory,False
MAR-000107,E2,normal,True
MAR-000108,B2,normal,True
MAR-000109,C1,normal,True
MAR-000110,G2,normal,True
MAR-000111,F3,normal,True
MAR-000112,H1,exclusion_breach,True
MAR-000113,B3,normal,False
MAR-000114,H6,advisory,True
MAR-000115,H2,advisory,True
MAR-000116,H5,normal,True
MAR-000117,E7,normal,False
MAR-000118,E5,normal,True
MAR-000119,A5,exclusion_breach,True
MAR-000120,D2,exclusion_breach,False
MAR-000121,A4,normal,True
MAR-000122,A1,normal,True
MAR-000123,F4,advisory,True
MAR-000124,C4,advisory,False
MAR-000125,E8,normal,True
MAR-000126,F5,normal,True
MAR-000127,G1,normal,True
MAR-000128,F2,advisory,True
MAR-000129,D8,normal,False
MAR-000130,A7,normal,True
MAR-000131,H5,normal,False
MAR-000132,D5,normal,True
MAR-000133,C2,exclusion_breach,True
MAR-000134,D7,exclusion_breach,True
MAR-000135,G1,advisory,False
MAR-000136,F6,normal,True
MAR-000137,E4,normal,False
MAR-000138,B5,normal,False
MAR-000139,B1,normal,True
MAR-000140,G4,normal,True
MAR-000141,A6,advisory,True
MAR-000142,G1,normal,True
MAR-000143,A7,exclusion_breach,False
MAR-000144,D1,normal,True
MAR-000145,B6,advisory,True
MAR-000146,H7,advisory,True
MAR-000147,E8,normal,True
MAR-000148,E6,normal,True
MAR-000149,B4,normal,True
MAR-000150,D5,normal,True
MAR-000151,A5,normal,True
MAR-000152,A8,normal,False
MAR-000153,D5,exclusion_breach,True
MAR-000154,H8,exclusion_breach,False
MAR-000155,B7,normal,True
MAR-000156,G2,advisory,False
MAR-000157,E1,normal,True
MAR-000158,G2,normal,True
MAR-000159,D2,exclusion_breach,True
MAR-000160,G2,advisory,True
MAR-000161,H4,normal,True
MAR-000162,G8,normal,False
MAR-000163,E6,normal,False
MAR-000164,E6,advisory,True
MAR-000165,C4,advisory,True
MAR-000166,D2,exclusion_breach,True
MAR-000167,B7,advisory,False
MAR-000168,G1,advisory,False
MAR-000169,B8,normal,False
MAR-000170,C7,normal,True
MAR-000171,G3,normal,False
MAR-000172,A8,normal,False
MAR-000173,C1,normal,True
MAR-000174,D1,normal,False
MAR-000175,C6,normal,False
MAR-000176,G1,normal,True
MAR-000177,E5,advisory,False
MAR-000178,F6,normal,True
MAR-000179,G4,normal,False
MAR-000180,D1,normal,False
MAR-000181,G2,advisory,True
MAR-000182,E4,normal,True
MAR-000183,F4,exclusion_breach,False
MAR-000184,E8,normal,True
MAR-000185,E8,normal,True
MAR-000186,B8,advisory,False
MAR-000187,C1,normal,True
MAR-000188,E8,advisory,False
MAR-000189,C7,advisory,True
MAR-000190,C3,advisory,True
MAR-000191,C4,advisory,True
MAR-000192,F4,advisory,True
MAR-000193,D2,normal,True
MAR-000194,F6,normal,True
MAR-000195,D1,normal,True
MAR-000196,G4,normal,True
MAR-000197,G2,exclusion_breach,True
MAR-000198,C7,normal,True
MAR-000199,F4,normal,True
MAR-000200,F2,normal,False
